nm;A
800.000000;0.007473
799.000000;0.010122
798.000000;0.007533
797.000000;0.012653
796.000000;0.010359
795.000000;0.009407
794.000000;-0.002954
793.000000;0.004835
792.000000;0.000067
791.000000;0.001946
790.000000;0.006379
789.000000;0.007314
788.000000;0.004512
787.000000;0.007469
786.000000;0.000121
785.000000;-0.005499
784.000000;0.006555
783.000000;0.009488
782.000000;0.012161
781.000000;0.005607
780.000000;0.006515
779.000000;0.012264
778.000000;0.008724
777.000000;0.002184
776.000000;0.009972
775.000000;0.011246
774.000000;0.005710
773.000000;0.011519
772.000000;0.001809
771.000000;0.003532
770.000000;0.005224
769.000000;0.005819
768.000000;0.005082
767.000000;0.003471
766.000000;0.013336
765.000000;-0.000156
764.000000;0.007369
763.000000;0.013222
762.000000;0.011627
761.000000;0.006348
760.000000;0.006053
759.000000;0.003232
758.000000;0.006489
757.000000;0.008941
756.000000;0.005584
755.000000;0.001224
754.000000;0.011107
753.000000;0.009128
752.000000;0.002474
751.000000;0.002314
750.000000;0.010006
749.000000;0.005168
748.000000;0.004743
747.000000;0.009230
746.000000;0.011437
745.000000;0.011318
744.000000;0.006024
743.000000;0.008910
742.000000;0.003486
741.000000;0.003450
740.000000;0.007102
739.000000;0.009135
738.000000;0.006663
737.000000;0.007489
736.000000;0.009950
735.000000;0.007654
734.000000;0.009838
733.000000;0.007313
732.000000;0.008438
731.000000;0.004901
730.000000;0.004723
729.000000;0.007084
728.000000;0.005556
727.000000;0.004283
726.000000;0.005716
725.000000;0.008176
724.000000;0.009222
723.000000;0.007807
722.000000;0.003861
721.000000;0.002568
720.000000;0.007020
719.000000;0.008700
718.000000;0.009549
717.000000;0.007931
716.000000;0.004110
715.000000;0.004579
714.000000;0.004404
713.000000;0.006785
712.000000;0.005477
711.000000;0.004331
710.000000;0.001402
709.000000;0.004694
708.000000;0.004162
707.000000;0.006968
706.000000;0.011001
705.000000;0.008980
704.000000;0.008815
703.000000;0.007254
702.000000;0.006101
701.000000;0.007348
700.000000;0.006524
699.000000;0.007318
698.000000;0.005597
697.000000;0.008072
696.000000;0.007189
695.000000;0.006017
694.000000;0.005875
693.000000;0.008485
