nm;A
800.000000;0.000980
799.000000;0.003689
798.000000;0.000795
797.000000;-0.001123
796.000000;0.005024
795.000000;0.006030
794.000000;-0.002820
793.000000;0.006895
792.000000;-0.001767
791.000000;-0.003899
790.000000;-0.002989
789.000000;-0.002496
788.000000;0.001200
787.000000;0.002389
786.000000;-0.002379
785.000000;-0.004175
784.000000;-0.000401
783.000000;0.004989
782.000000;0.007765
781.000000;0.009307
780.000000;0.003281
779.000000;0.004431
778.000000;0.002234
777.000000;0.001815
776.000000;0.014921
775.000000;0.005785
774.000000;-0.000556
773.000000;0.006221
772.000000;-0.002062
771.000000;-0.000211
770.000000;-0.002637
769.000000;-0.002953
768.000000;0.000183
767.000000;0.001495
766.000000;0.005776
765.000000;-0.006790
764.000000;-0.001632
763.000000;0.007132
762.000000;0.002761
761.000000;0.006485
760.000000;0.000078
759.000000;0.000206
758.000000;0.009038
757.000000;0.001863
756.000000;-0.003783
755.000000;-0.003332
754.000000;0.000585
753.000000;0.001508
752.000000;0.000830
751.000000;-0.000199
750.000000;0.007975
749.000000;-0.001969
748.000000;0.001992
747.000000;0.005083
746.000000;0.004898
745.000000;0.004135
744.000000;0.005360
743.000000;0.000381
742.000000;-0.005851
741.000000;-0.001382
740.000000;-0.000087
739.000000;0.002294
738.000000;0.002340
737.000000;0.000476
736.000000;0.001539
735.000000;0.002351
734.000000;0.001334
733.000000;0.001284
732.000000;0.001273
731.000000;-0.000643
730.000000;0.003559
729.000000;0.003329
728.000000;0.002428
727.000000;-0.001462
726.000000;-0.002586
725.000000;0.000120
724.000000;0.004397
723.000000;-0.000866
722.000000;0.001089
721.000000;0.001641
720.000000;0.000164
719.000000;0.002530
718.000000;0.004320
717.000000;0.004839
716.000000;0.000977
715.000000;0.002775
714.000000;0.000786
713.000000;0.000744
712.000000;0.002791
711.000000;0.004177
710.000000;0.002064
709.000000;0.003327
708.000000;0.001876
707.000000;0.002315
706.000000;0.005196
705.000000;0.001742
704.000000;0.001907
703.000000;0.006430
702.000000;0.005961
701.000000;0.002784
700.000000;0.002685
