nm;A
800.000000;0.034425
799.000000;0.034847
798.000000;0.034760
797.000000;0.034638
796.000000;0.034752
795.000000;0.034393
794.000000;0.032868
793.000000;0.033532
792.000000;0.034967
791.000000;0.034101
790.000000;0.034201
789.000000;0.033495
788.000000;0.032307
787.000000;0.033110
786.000000;0.033196
785.000000;0.033943
784.000000;0.034297
783.000000;0.032640
782.000000;0.033316
781.000000;0.033353
780.000000;0.034190
779.000000;0.031999
778.000000;0.032458
777.000000;0.033104
776.000000;0.032650
775.000000;0.032824
774.000000;0.032906
773.000000;0.032412
772.000000;0.032886
771.000000;0.032711
770.000000;0.033181
769.000000;0.033464
768.000000;0.033249
767.000000;0.033322
766.000000;0.032991
765.000000;0.033417
764.000000;0.032933
763.000000;0.033398
762.000000;0.032708
761.000000;0.033532
760.000000;0.032690
759.000000;0.032996
758.000000;0.033207
757.000000;0.032864
756.000000;0.032738
755.000000;0.032925
754.000000;0.032148
753.000000;0.032772
752.000000;0.032658
751.000000;0.032644
750.000000;0.032789
749.000000;0.033057
748.000000;0.033139
747.000000;0.033823
746.000000;0.032894
745.000000;0.033071
744.000000;0.032997
743.000000;0.033854
742.000000;0.032486
741.000000;0.032765
740.000000;0.033607
739.000000;0.033531
738.000000;0.033816
737.000000;0.034164
736.000000;0.034631
735.000000;0.034514
734.000000;0.035686
733.000000;0.036285
732.000000;0.036096
731.000000;0.036278
730.000000;0.037076
729.000000;0.036741
728.000000;0.036190
727.000000;0.035893
726.000000;0.035856
725.000000;0.034841
724.000000;0.034331
723.000000;0.034586
722.000000;0.034436
721.000000;0.034384
720.000000;0.034156
719.000000;0.034245
718.000000;0.034301
717.000000;0.033434
716.000000;0.033379
715.000000;0.034009
714.000000;0.033706
713.000000;0.034214
712.000000;0.033530
711.000000;0.033192
710.000000;0.033823
709.000000;0.033641
708.000000;0.033451
707.000000;0.033662
706.000000;0.033860
705.000000;0.033484
704.000000;0.033475
703.000000;0.033722
702.000000;0.033582
701.000000;0.033619
700.000000;0.033286
699.000000;0.033226
698.000000;0.033302
697.000000;0.033261
696.000000;0.033048
695.000000;0.033087
694.000000;0.033171
693.000000;0.033379
692.000000;0.033320
691.000000;0.033425
690.000000;0.033300
689.000000;0.033430
688.000000;0.033274
687.000000;0.033254
686.000000;0.033332
685.000000;0.033046
684.000000;0.033367
683.000000;0.033751
682.000000;0.033918
681.000000;0.033604
680.000000;0.033297
679.000000;0.033526
678.000000;0.033863
677.000000;0.033919
676.000000;0.033609
675.000000;0.033507
674.000000;0.033376
673.000000;0.033409
672.000000;0.033501
671.000000;0.033763
670.000000;0.033762
669.000000;0.033770
668.000000;0.033871
667.000000;0.033654
666.000000;0.033629
665.000000;0.033670
664.000000;0.033467
663.000000;0.033617
662.000000;0.033763
661.000000;0.033690
660.000000;0.033549
659.000000;0.033439
658.000000;0.033576
657.000000;0.033590
656.000000;0.033537
655.000000;0.033703
654.000000;0.033678
653.000000;0.033530
652.000000;0.033542
651.000000;0.033584
650.000000;0.033739
649.000000;0.033521
